objekt_id,kategorie,objekt_strasse,objekt_ort,plz,zimmer,nutzflaeche,nettomiete,nebenkosten,bruttomiete
6348494,Wohnung,"Hochfeldstrasse, 55",Bern,3012,2,48,1420,130,1550
6348901,Wohnung,NULL,Bern,3012,3.5,NULL,2150,NULL,2150
6349706,Wohnung,Krummeneggweg 80,Gasel,3144,4.5,120,NULL,NULL,1800
6349881,Wohnung,Muesmattstrasse 48,Bern,3012,3,57,1700,175,1875
6349897,Wohnung,Eichweg 24,Ostermundigen,3072,3.5,NULL,1320,180,1500
6350174,Wohnung,Allmendstrasse 5,Bern,3014,2.5,100,2100,270,2370
6350429,Wohnung,Gesellschaftsstrasse 75,Bern,3012,2,NULL,1520,190,1710
6351018,Wohnung,Blumensteinstrasse 18,Bern,3012,3,NULL,1119,250,1369
6352682,Wohnung,NULL,Thörishaus,3174,2.5,100,1980,NULL,1980
6353044,Wohnung,Bernstrasse 25,Ostermundigen,3072,2.5,68,1490,220,1710
6354157,Wohnung,Spitalackerstrasse 20,Bern,3013,3.5,70,1400,200,1600
6354302,Wohnung,Köhlerstrasse 21,Thörishaus,3174,4.5,93,1450,260,1710
6354307,Wohnung,Bernstrasse 54a,Ostermundigen,3072,3.5,110,1650,330,1980
6354749,Wohnung,sCHLÄLISTRASSE,Bern,3013,1.5,30,NULL,NULL,1080
6356037,Wohnung,Mitteldorfstrasse 51,Ostermundigen,3072,4,NULL,1248,250,1498
6356072,Wohnung,Schermenweg 172,Ostermundigen,3072,1,25,630,120,750
6357184,Wohnung,Brückfeldstr. 19,Bern,3012,2,44,1270,170,1440
6357537,Wohnung,Mitteldorfstrasse 44,Ostermundigen,3072,3,NULL,1250,150,1400
6358837,Wohnung,Bernstrasse 10,Ostermundigen,3072,3.5,58,1010,220,1230
6359765,Haus,NULL,Ostermundigen,3072,4.5,96,2000,NULL,2000
6359776,Wohnung,Bolligenstrasse 48 A,Bern,3006,4.5,99,1770,380,2150
